[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.010265 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.008641 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 4.001250 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.010329 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 17.348640 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.010646 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.010144 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.009240 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 3.996421 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.010500 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 17.738768 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.010192 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.010270 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.008777 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 3.947962 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.011321 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 17.693958 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.010768 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.010816 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.011453 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 4.034448 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.010024 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 17.515121 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.011329 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.010031 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.008406 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 4.018481 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.010427 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 17.573771 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.010824 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.010643 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.008700 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 4.015023 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.010509 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 17.515213 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.011165 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.010172 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.009050 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 3.886918 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.009767 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 17.246529 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.011177 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.010673 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.009218 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 3.949129 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.011890 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 17.437670 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.011235 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.010641 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.008775 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 3.958853 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.009667 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 17.392843 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.010385 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.010040 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.008757 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 3.938599 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.009902 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 17.319496 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.011054 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.009918 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.008945 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 3.984752 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.012614 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 17.487261 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.010209 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.010472 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.009380 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 3.994561 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.010373 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 17.442650 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.010013 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.010436 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.008701 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 3.941234 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.009712 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 17.221313 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.011242 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.010007 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.009235 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 4.043510 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.009297 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 17.220146 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.010019 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.009956 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.008827 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 4.017962 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.012400 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 17.421867 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.010691 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.010474 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.008651 seconds
