[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.007886 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.007111 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 2.143236 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.007518 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 9.495303 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.007027 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.008119 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.006761 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 2.108066 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.007227 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 9.737510 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.008470 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.007450 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.006672 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 2.094083 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.007337 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 9.655639 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.007623 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.007730 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.006663 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 2.157875 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.008000 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 9.671393 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.009350 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.011590 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.006979 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 2.055703 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.007676 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 9.547250 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.006927 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.007642 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.006869 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 2.127460 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.007576 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 9.437094 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.007838 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.007803 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.007045 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 2.113063 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.007885 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 9.486215 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.007621 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.007971 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.013199 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 2.186340 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.007726 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 9.678405 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.008258 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.007986 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.006508 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 2.123508 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.007848 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 9.578207 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.006988 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.007901 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.006658 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 2.059224 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.007605 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 9.553529 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.007955 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.007618 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.006677 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 2.101517 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.008114 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 9.525639 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.008290 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.008043 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.006870 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 2.183763 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.008352 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 9.567776 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.007749 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.007491 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.006797 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 2.047758 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.008116 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 9.500892 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.007651 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.008610 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.006976 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 2.121427 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.007042 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 9.920344 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.007929 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.007582 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.006450 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 2.106865 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.007280 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 10.047173 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.007437 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.007891 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.006808 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 2.118017 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.007814 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 9.573709 seconds
