[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.010994 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.010111 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 9.461382 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.010540 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 20.981186 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.010551 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.011958 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.010609 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 9.198472 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.010668 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 20.916174 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.011540 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.011205 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.010484 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 9.339547 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.011142 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 21.300442 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.010926 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.010483 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.010519 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 9.419689 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.010438 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 21.158499 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.011267 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.011013 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.010064 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 9.442622 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.011954 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 20.990591 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.010610 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.010820 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.009660 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 9.523021 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.011028 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 20.972652 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.010881 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.011237 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.009637 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 9.458560 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.010675 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 20.702429 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.011668 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.011409 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.010271 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 9.652849 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.011048 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 20.754528 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.014721 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.011439 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.010118 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 9.291916 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.010632 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 20.833218 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.010984 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.011041 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.009975 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 9.403177 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.012213 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 20.910881 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.010928 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.011570 seconds
