[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.007740 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.006931 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 3.587356 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.006935 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 8.897838 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.008561 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.007751 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.007029 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 3.683371 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.007236 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 8.810272 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.007255 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.007289 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.006278 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 3.584923 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.007097 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 8.651204 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.007106 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.007711 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.006817 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 3.762581 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.007104 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 8.758486 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.007495 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.007719 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.006745 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 3.610611 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.007718 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 8.746878 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.006934 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.007386 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.006672 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 3.657659 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.007087 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 8.651153 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.007090 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.007596 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.006739 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 3.632285 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.007544 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 8.709996 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.007570 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.007285 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.006748 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 3.646052 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.007010 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 8.751822 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.006763 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.007355 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.006669 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 3.759454 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.007212 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 8.736780 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.007468 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.007206 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.006430 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 3.746828 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.007084 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 8.812599 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.007557 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.007728 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.006448 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 3.658038 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.007391 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 8.949857 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.007037 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.007573 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.006641 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 3.734306 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.007608 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 8.793849 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.007428 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.008152 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.007467 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 3.614773 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.007028 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 8.672231 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.007167 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.007161 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.006683 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 3.679580 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.006947 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 8.650102 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.006579 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.007629 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.006812 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 3.732626 seconds
