[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.202145 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.008294 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.275630 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.008909 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 13.357579 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.009485 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.197477 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.008828 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.297954 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.009015 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 13.556922 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.009765 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.198386 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.008782 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.276031 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.009364 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 13.306410 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.010774 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.205541 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.008689 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.282680 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.009065 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 13.717511 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.009924 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.204192 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.008324 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.274680 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.008402 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 13.253489 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.009904 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.202243 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.008518 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.291263 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.009241 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 13.248808 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.011060 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.199874 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.008805 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.278528 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.008653 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 13.284558 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.010316 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.207683 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.008971 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.289688 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.008798 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 13.327921 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.010207 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.202933 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.010353 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.276413 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.008526 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 13.362107 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.009226 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.206804 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.008765 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.277272 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.009161 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 13.308257 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.009789 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.198603 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.008337 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.283021 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.008636 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 13.303682 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.010610 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.205199 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.010371 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.285788 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.008610 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 13.340361 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.009185 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.195603 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.008607 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.290159 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.013753 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 13.504199 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.009936 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.194717 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.008579 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.275684 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.008699 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 13.458694 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.009221 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.197600 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.008663 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.283340 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.009121 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 13.281175 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.008983 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.200353 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.013598 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.293438 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.009282 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 13.422535 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.010053 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.205839 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.008210 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.275670 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.008209 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 13.590073 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.009428 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.214104 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.008740 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.273951 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.008342 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 13.674634 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.009640 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.196599 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.008664 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.278033 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.008652 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 13.713699 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.009700 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.207402 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.009093 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.294929 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.008578 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 13.412844 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.009666 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.203161 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.008308 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.283270 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.009067 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 13.296387 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.009280 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.198596 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.008781 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.281835 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.008495 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 13.570469 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.010618 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.199523 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.008416 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.281350 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.008622 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 13.403008 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.009612 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.201235 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.008869 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.287368 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.009270 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 13.449944 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.009503 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.203865 seconds
