[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.013831 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012536 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 14.668715 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.013009 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 31.973217 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.013722 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.013139 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012130 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 14.654608 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.014019 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 31.764849 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.013902 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.013592 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012294 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 14.728901 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.014503 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 32.122246 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.013521 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014086 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012544 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 14.898930 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.014244 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 32.025074 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.012928 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.013484 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012582 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 14.536179 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.013419 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 31.517101 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.013022 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.018218 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012598 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 14.711794 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.014205 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 31.940851 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.014837 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.015044 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012207 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 14.560513 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.013456 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 31.762079 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.013013 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014725 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012341 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 14.937662 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.013426 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 32.155460 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.015881 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014004 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012869 seconds
