[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.011572 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.010492 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 5.150349 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.011340 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 22.206749 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.011443 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.010926 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.010124 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 5.105796 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.011057 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 21.961014 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.014367 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.011310 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.010307 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 5.078416 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.011868 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 22.217978 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.012246 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.011721 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.010194 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 4.999472 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.011095 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 22.638706 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.011968 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.011024 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.009660 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 5.182057 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.012223 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 22.152012 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.011552 seconds
