[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.009880 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.009258 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 7.208552 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.010287 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 16.406092 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.010876 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.009985 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.008927 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 7.314718 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.009523 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 16.191069 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.009374 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.012713 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.009112 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 7.144434 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.009685 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 16.320448 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.011337 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.009956 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.008745 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 7.254862 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.009167 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 16.188116 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.009762 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.009520 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.009615 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 7.287502 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.009349 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 16.274464 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.009842 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.010535 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.009473 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 7.184598 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.009500 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 16.285355 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.010290 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.010140 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.008545 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 7.191809 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.009996 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 16.187304 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.009736 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.009745 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.008484 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 7.200058 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.009901 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 16.177465 seconds
