[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 5.867149 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.006144 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.006186 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.005369 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 2.334145 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.005511 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 5.882726 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.006104 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.006373 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.005609 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 2.376363 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.005985 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 6.213206 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.007952 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.006526 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.005568 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 2.437644 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.009476 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 6.058397 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.006273 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.006385 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.005801 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 2.382878 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.005842 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 5.765415 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.006679 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.006160 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.005417 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 2.375414 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.008070 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 5.884870 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.005713 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.006245 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.005425 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 2.373297 seconds
