[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.097309 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.006028 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.122693 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.006178 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 6.332283 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.006825 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.095070 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.006145 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.121350 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.005939 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 6.597124 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.006759 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.096842 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.006091 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.135069 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.005831 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 6.277730 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.006461 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.097939 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.006188 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.134996 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.006438 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 6.414087 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.006996 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.097375 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.006077 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.125468 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.006491 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 6.345176 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.007123 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.096506 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.006233 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.122999 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.006256 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 6.309582 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.006764 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.097207 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.006186 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.124226 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.006160 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 6.323575 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.006975 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.097151 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.006109 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.121851 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.005980 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 6.270364 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.006881 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.094402 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.006028 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.122404 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.006097 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 6.251095 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.007178 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.103840 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.005809 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.133566 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.006301 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 6.408639 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.006812 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.101099 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.005929 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.136481 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.006216 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 6.365067 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.007054 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.107994 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007598 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.132739 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.006295 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 6.467837 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.007050 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.095888 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.006044 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.122994 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.006198 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 6.306238 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.007041 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.104478 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007084 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.123166 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.006257 seconds
