[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.349822 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.011334 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.500140 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.011092 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 22.921320 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.012225 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.362418 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.012153 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.507528 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.013812 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 22.891293 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.015683 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.345990 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.011659 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.496141 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.012617 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 22.729399 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.012408 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.338328 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.011308 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.502685 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.012481 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 22.779655 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.012752 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.346245 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.010514 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.535798 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.012188 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 22.699667 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.012524 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.331506 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.010972 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.509850 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.011709 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 22.825771 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.012335 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.354060 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.011981 seconds
