[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.005379 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.004964 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 1.359966 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.004960 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 3.466252 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.004823 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.004914 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.004133 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 1.309729 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.005063 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 3.498352 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.004558 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.004914 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.004554 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 1.294503 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.005621 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 3.524792 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.004740 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.004907 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.004313 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 1.306689 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.004877 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 3.476290 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.004695 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.005093 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.004484 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 1.357495 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.005357 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 3.517138 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.004745 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.005194 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.004960 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 1.292532 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.004745 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 3.405119 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.004851 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.005318 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.006401 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 1.271387 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.004867 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 3.494323 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.005722 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.005607 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.004487 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 1.317421 seconds
