[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.011814 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.010284 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 10.070879 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.011694 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 22.135958 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.011378 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.012748 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.010152 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 10.198360 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.011108 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 22.107283 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.010608 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.011685 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.010234 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 10.026134 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.010817 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 22.159018 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.014927 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.011313 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.009675 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 10.178569 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.011023 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 22.138058 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.011331 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.011104 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.008052 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 10.260186 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.010798 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 22.149031 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.011050 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.011535 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.009516 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 10.159072 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.011302 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 21.985630 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.011748 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.012632 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.010489 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 10.269390 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.011538 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 22.006908 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.011253 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.012473 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.011131 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 10.175969 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.011106 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 22.212774 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.012787 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.011821 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.010438 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 10.212058 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.011300 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 22.462551 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.010743 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.015054 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.010034 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 10.019960 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.013336 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 22.174160 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.011541 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.012104 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.010006 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 10.103383 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.012120 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 22.414888 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.010736 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.011686 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.009634 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 10.390866 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.011805 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 22.497404 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.011217 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.011590 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.009972 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 10.321517 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.011285 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 22.319025 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.011904 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.012530 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.010209 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 10.230252 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.014126 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 22.173679 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.011525 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.011242 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.010216 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 10.136195 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.011124 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 22.216494 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.010807 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.011963 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.009931 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 10.061870 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.011620 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 22.090586 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.012881 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.011294 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.009484 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 10.235735 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.010776 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 22.275887 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.010809 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.012129 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.009541 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 10.083468 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.012889 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 22.215391 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.011677 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.012243 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.009290 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 10.209447 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.012791 seconds
