[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.592310 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.012797 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 27.609360 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.012958 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.013064 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.010775 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.455936 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.012582 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 27.455833 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.014453 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.012962 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.011321 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.601391 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.013982 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 27.556585 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.012759 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.012942 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.011335 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.423324 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.011868 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 27.340868 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.013481 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.013078 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.011799 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.716935 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.013027 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 27.564087 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.013705 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.014446 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.011147 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.549085 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.013934 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 27.651539 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.012939 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.013686 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.011451 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.352575 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.012159 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 27.548862 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.013406 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.013950 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.011313 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.412048 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.012897 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 26.348936 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.013226 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.012586 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.010877 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.258531 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.012767 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 26.014811 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.013771 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.012422 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.013568 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.468644 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.013257 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 27.746553 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.012442 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.013341 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.011866 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.488409 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.013520 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 27.326141 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.012876 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.012684 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.010871 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.481202 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.014233 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 28.062141 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.016223 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.015988 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.011894 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.551780 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.012882 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 27.983458 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.013646 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.012971 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.011347 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.455057 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.013239 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 27.004498 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.015047 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.012905 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.011383 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.424432 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.014589 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 27.310379 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.012991 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.016322 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.012562 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.608881 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.015120 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 27.223312 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.013159 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.015752 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.011405 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.610438 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.012960 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 27.407442 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.015703 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.012542 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.010900 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.319053 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.013050 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 27.167011 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.013440 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.012901 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.012675 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.507257 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.015838 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 27.811251 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.016321 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.013323 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.011559 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.669874 seconds
