[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.058091 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.004744 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.077361 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.005171 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 3.857896 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.006102 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.057958 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.005139 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.077902 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.005097 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 3.769411 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.005264 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.058368 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.004911 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.070568 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.005085 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 3.763430 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.005500 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.061332 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.005036 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.073934 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.005145 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 3.943370 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.006360 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.058837 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.004545 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.071697 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.005163 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 3.751783 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.005231 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.057747 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.004989 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.070776 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.005142 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 3.708981 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.005447 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.059104 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.005178 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.070183 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.004824 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 3.885576 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.006639 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.060840 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.004950 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.070692 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.005164 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 3.851347 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.005824 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.061444 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.005029 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.074426 seconds
