[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.397554 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.006503 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.477394 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.007363 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.006873 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.006436 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.404290 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.006130 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.685912 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.006498 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.006933 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005507 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.431052 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.005856 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.585843 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.009008 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.007088 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005389 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.414209 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.006499 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.435395 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.006125 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.006111 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005029 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.359898 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.010906 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.497529 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.006987 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.006043 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005286 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.351161 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.006277 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.471363 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.006799 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.007211 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005569 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.359043 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.006315 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.490190 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.006389 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.006065 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005492 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.381496 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.006164 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.535983 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.006584 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.006400 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005531 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.369290 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.005853 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.605156 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.006563 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.006478 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005720 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.395502 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.006415 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.551359 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.007496 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.006606 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005603 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.386259 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.006403 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.574812 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.009799 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.006531 seconds
