[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.630686 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.013878 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 33.615898 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.016329 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.013974 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012104 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.519205 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.013858 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 33.463306 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.013885 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.013596 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.011149 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.510962 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.014955 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 33.243885 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.014168 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014186 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.011906 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.756890 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.014136 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 31.676764 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.013762 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014445 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012589 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.527742 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.014780 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 33.515697 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.013914 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.017210 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.013418 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.541149 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.014178 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 33.762638 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.013603 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014517 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012686 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.297363 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.014906 seconds
