[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.002432 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.002194 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 0.122660 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.002366 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 0.818911 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.002213 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.002648 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.002140 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 0.127199 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.002730 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 0.812182 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.003270 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.002557 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.002029 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 0.122802 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.002276 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 0.791158 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.002470 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.002418 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.002217 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 0.122782 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.002186 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 0.827899 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.002668 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.002582 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.002268 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 0.118126 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.002388 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 0.785055 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.003124 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.002546 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.002222 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 0.122787 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.002464 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 0.768892 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.002438 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.002537 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.002055 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 0.127503 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.002364 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 0.786205 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.002565 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.002514 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.002116 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 0.121466 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.002366 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 0.787841 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.002462 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.002628 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.002117 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 0.133904 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.002300 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 0.805792 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.002622 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.002604 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.002108 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 0.123623 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.002383 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 0.777595 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.002445 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.002655 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.002252 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 0.122643 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.002422 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 0.805327 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.002390 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.002524 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.002120 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 0.115916 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.002462 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 0.765811 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.002404 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.002642 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.002211 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 0.118443 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.002427 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 0.773274 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.002302 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.002477 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.002233 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 0.124107 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.002305 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 0.785238 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.002502 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.002672 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.002172 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 0.122722 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.002473 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 0.780605 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.002415 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.002603 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.002332 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 0.138378 seconds
