[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.962618 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.015072 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 42.012783 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.021540 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.600285 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.014976 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.942058 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.017239 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 42.014111 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.021223 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.592883 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.014339 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.942976 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.019117 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 41.601151 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.017909 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.607542 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.019097 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.967058 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.018624 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 41.730366 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.016010 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.605317 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.014932 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.945499 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.015544 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 41.765553 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.016729 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.620061 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.014768 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.914069 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.016635 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 41.386646 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.016344 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.593152 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.014934 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.927415 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.014310 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 41.640766 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.018994 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.590857 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.014879 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.976635 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.016144 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 41.827396 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.016823 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.633803 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.015680 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.948231 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.015527 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 42.116596 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.016727 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.621817 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.014847 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.926125 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.015069 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 42.108807 seconds
