[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.011311 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.002480 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.011867 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.002413 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 0.523552 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.002773 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.013218 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.002533 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.012920 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.002618 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 0.548587 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.002494 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.010983 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.002889 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.012635 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.003408 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 0.565838 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.002569 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.010303 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.002449 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.011825 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.002559 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 0.516068 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.002553 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.010269 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.002525 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.011859 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.002381 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 0.511955 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.003191 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.011630 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.002366 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.012234 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.002398 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 0.548363 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.002616 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.011480 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.002434 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.012340 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.002514 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 0.559227 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.002778 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.010687 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.002411 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.011370 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.002460 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 0.512374 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.002635 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.010464 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.002536 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.012252 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.002475 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 0.574892 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.002882 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.010849 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.002400 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.011653 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.002457 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 0.534710 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.002611 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.010243 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.002277 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.011982 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.002454 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 0.540172 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.002751 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.010044 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.002537 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.015467 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.002688 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 0.554610 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.002532 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.010926 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.002308 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.011263 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.002469 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 0.531098 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.002967 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.010319 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.002504 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.011672 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.002631 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 0.543824 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.002861 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.010420 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.002370 seconds
