[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 38.367226 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.014590 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014919 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.013366 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 17.864152 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.014086 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 38.298473 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.016153 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014288 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012976 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 18.022863 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.014139 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 38.319416 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.015123 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014807 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012891 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 17.654354 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.014185 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 38.226337 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.014830 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.015025 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.013342 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 17.998410 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.015612 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 38.179729 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.013801 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014424 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.014502 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 17.461392 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.015365 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 38.024914 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.017702 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014610 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.013747 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 17.651340 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.015852 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 38.698318 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.014857 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.016183 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.014310 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 17.762523 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.014643 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 38.614098 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.015795 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014921 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.013115 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 17.772458 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.014809 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 38.468948 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.023413 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014868 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.013194 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 18.103233 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.015139 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 38.668457 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.014176 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014267 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.013238 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 17.737578 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.015345 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 38.810116 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.014866 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014248 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.016007 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 18.082817 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.018344 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 39.075520 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.015218 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014427 seconds
